"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"25844","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66502","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","22-Apr-2024","LUCKY ASSOCIATES","Payment Success","995877"
"25845","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66493","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","26-Apr-2024","LUCKY ASSOCIATES","Payment Success","997489"
"25846","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66501","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","26-Apr-2024","LUCKY ASSOCIATES","Payment Success","997274"
"25847","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66494","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","26-Apr-2024","LUCKY ASSOCIATES","Payment Success","995781"
"25848","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP157/2023-2024/55603","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","06-May-2024","LUCKY ASSOCIATES","Payment Success","997955"
"25849","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP161/2025-2026/194183","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Dr. Kanimozhi NVN Somu (2021-26) (2021-2026)","Elected MP","18-Sep-2025","LUCKY ASSOCIATES","Payment Success","897113"
"25850","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP161/2025-2026/194184","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Dr. Kanimozhi NVN Somu (2021-26) (2021-2026)","Elected MP","18-Sep-2025","LUCKY ASSOCIATES","Payment Success","917377"
"25851","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66500","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","24-Apr-2024","LUCKY ASSOCIATES","Payment Success","996469"
"25852","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66498","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","24-Apr-2024","LUCKY ASSOCIATES","Payment Success","997548"
"25853","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP157/2023-2024/55621","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","08-May-2024","LUCKY ASSOCIATES","Payment Success","998014"
"25854","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP157/2023-2024/55628","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","08-May-2024","LUCKY ASSOCIATES","Payment Success","998614"
"25855","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP157/2023-2024/55612","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","08-May-2024","LUCKY ASSOCIATES","Payment Success","998289"
"25856","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP157/2023-2024/55583","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","10-May-2024","LUCKY ASSOCIATES","Payment Success","998167"
"25857","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/193187","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","997109"
"25858","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/193186","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","997397"
"25859","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/193188","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","997160"
"25860","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66499","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","22-Apr-2024","LUCKY ASSOCIATES","Payment Success","996154"
"25861","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66496","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","22-Apr-2024","LUCKY ASSOCIATES","Payment Success","995902"
"25862","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66495","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","22-Apr-2024","LUCKY ASSOCIATES","Payment Success","995582"
"25863","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2023-2024/66497","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","22-Apr-2024","LUCKY ASSOCIATES","Payment Success","997044"
"25864","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179634","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","987980"
"25865","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179635","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","597886"
"25866","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179636","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","988309"
"25867","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179637","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","996852"
"25868","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/193189","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","996636"
"25869","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/193194","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","996715"
"25870","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/155555","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","996734"
"25871","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/155558","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","997019"
"25872","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179633","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","997057"
"25873","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179638","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","770388"
"25874","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179606","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","864141"
"25875","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179607","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","996974"
"25876","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/155556","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","997200"
"25877","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179608","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","797846"
"25878","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179609","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","992665"
"25879","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP159/2025-2026/179610","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","987880"
"25880","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP153/2025-2026/155557","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","13-Nov-2025","LUCKY ASSOCIATES","Payment Success","996388"
"25881","Tamil Nadu","Street lights","WS/MP157/2025-2026/245156","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","30-Jul-2026","LUCKY ASSOCIATES","Payment Success","499966"
