"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"71","Normal/Others","WS/MP076/2023-2024/1805-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for ward no 19 Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"72","Normal/Others","WS/MP076/2023-2024/1806-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for ward 2 Community center Thurana Distt. Hisar ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","07-Nov-2023"
"73","Normal/Others","WS/MP076/2024-2025/1817-Purchase of mobile water tankers","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat kultana distt Rohtak","29-Jun-2023","155000","17-Dec-2024"
"74","Normal/Others","WS/MP076/2024-2025/1818-Purchase of mobile water tankers","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for Govt. High School kultana distt Rohtak","29-Jun-2023","155000","17-Dec-2024"
"75","Normal/Others","WS/MP076/2023-2024/1819-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Lohani Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","157000","19-Oct-2023"
"76","Normal/Others","WS/MP076/2023-2024/1820-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Thilod Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","157000","19-Oct-2023"
"77","Normal/Others","WS/MP076/2023-2024/1821-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Sai Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","157000","19-Oct-2023"
"78","Normal/Others","WS/MP076/2023-2024/1822-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchayat Gujrani Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","157000","19-Oct-2023"
"79","Normal/Others","WS/MP076/2023-2024/1823-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Kanwari  Distt. Hisar ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","155000","28-Jul-2023"
"80","Normal/Others","WS/MP076/2023-2024/1824-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Construction to complate unfinished  work in chaupal situated in the centre of village Kanwari Distt Hisar (Nangliya Pana Choupal)","29-Jun-2023","497630","30-Oct-2023"
"81","Normal/Others","WS/MP076/2023-2024/1825-Construction of boundary walls of existing public and community buildings","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Complition  of boundary wall Mahila Khel ground in Gram Panchyat Kanwari Distt Hisar","29-Jun-2023","248797","30-Oct-2023"
"82","Normal/Others","WS/MP221/2024-2025/1826-Purchase of IT systems, including hardware and software for educational purposes","West Bengal","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Installation of 20 Computers, 2 Printers-cum-Scanner for Lab & 200  Ornate Chairs for Seminar Hall & Books & Storage Almirahs of Ramakrishna Mission Ashrama, Vivekananda Sarani, Asansol.","29-Jun-2023","1619751","11-Sep-2024"
"83","Normal/Others","WS/MP221/2023-2024/1827-Construction of community centers and community halls","West Bengal","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Remaining Part of 1st Floor of Lions Asansol East, ADDA & B. S. Gopalka Memorial Netralaya, ADDA Industrial Estate, Kanyapur, Plot no. INS-05, Mouza-Gobindpur, J. L. No. 18","29-Jun-2023","1866997","22-Nov-2023"
"84","Normal/Others","WS/MP221/2023-2024/1828-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Additional Classroom at Jamini Roy College","29-Jun-2023","2000000","04-Jan-2024"
"85","Normal/Others","WS/MP221/2023-2024/1829-Construction of community centers and community halls","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Conf. Hall at 1st Floor of Taki Rakta Rabi Sangha, Mouza-Taki, JL No. 51, Khatian No. 1975/1, Dag No. 1407, Ward No. 04, Taki Municipality, PS – Hasnabad, District-N 24 prgs","29-Jun-2023","478815","11-Mar-2024"
"86","Normal/Others","WS/MP221/2023-2024/1830-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of New PCC Road starting frm Hasda Babu House upto Parimal Sen House, Mandal Babu to Anupam Das & Nimai Nandi Goli opposite Bhatbandh Pond within Ward No.5- Purulia Municipality","29-Jun-2023","672411","25-Jan-2024"
"87","Normal/Others","WS/MP221/2023-2024/1831-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Blacktop Road at N. V. Lane Sarkarpara from Opposite of Apanjan Club to Niloy Mitra Shop at Ward No. 16 under Rajpur-Sonarpur Municipality, District-South 24 Parganas","29-Jun-2023","902719","21-Feb-2024"
"88","Normal/Others","WS/MP221/2023-2024/1832-Construction of rooms and halls in school and colleges","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Additional Classroom for English Medium Section of Kalna Maharaja’s High School","29-Jun-2023","1000000","06-Dec-2023"
"89","Normal/Others","WS/MP221/2023-2024/1833-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Cement Concrete Road with Drain.","29-Jun-2023","2428037","11-Mar-2024"
"90","Normal/Others","WS/MP221/2023-2024/1835-Construction of rooms and halls in school and colleges","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Classroom along with ‘SMART CLASS’ with Laptop, Screen and other computer related components","29-Jun-2023","1381194","10-Jan-2024"
"91","Normal/Others","WS/MP221/2023-2024/1837-Construction of additional rooms and halls in the existing public and community building","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Guest Room Building","29-Jun-2023","1283189","18-Jan-2024"
"92","Normal/Others","WS/MP221/2023-2024/1838-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of K. C. Dutta Road from Misrapara to N. S. Bose Road at Ward No. 17 under Rajpur-Sonarpur Municipality, District-South 24 Parganas","29-Jun-2023","1050000","08-Feb-2024"
"93","Normal/Others","WS/MP221/2024-2025/1839-Purchase of IT systems, including hardware and software for educational purposes","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Purchase of 15 chess clocks, 50 chess sets, infrastructure development & procurement of office furniture & computer for Sara Bangla Daba Sangha, 91A, Chowringhee Road","29-Jun-2023","1500000","04-Feb-2025"
"94","Normal/Others","NA-Purchase of furniture and fixtures for educational purposes","Haryana","PANCHKULA(DRDA PANCHKULA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Smart class room with 85"" Built in Android and window latest generation PC. for govt.PG college,sector -1 Panchkula.","02-Jul-2023","1000000","NA"
"95","Normal/Others","WS/MP221/2023-2024/2099-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Part of a new Paediatric Hospital-300 beds of the Institute of Child Health, 11, Dr. Biresh Guha Street, Kol-17, WB","02-Jul-2023","2500000","15-Mar-2024"
"96","Normal/Others","WS/MP221/2023-2024/2100-Street lights","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Paver Blocked and High Mast Light at Ramakrishna Mission, Kasundia, 4, Naskara Para Lane, Kasundia, Howrah-711101, WB","02-Jul-2023","2720064","01-Feb-2024"
"97","Normal/Others","WS/MP076/2023-2024/2175-Installation of multi-gym equipment","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Providing of fix GYM indoor equipment in the memory of Shaheed Lt. Rakesh singh for GP Subana Distt. Jhajjar( SC Component)","03-Jul-2023","250000","06-Feb-2024"
"98","Normal/Others","WS/MP076/2023-2024/2176-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for Gram Panchayat Majra -B Distt. Jhajjar ( Capacity (5000 Liters with motor fitted with new tyers )","03-Jul-2023","154427","04-Dec-2023"
"99","Normal/Others","WS/MP076/2023-2024/2177-Purchase of books for public libraries/ digitization of library books","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Providing of computer Library (E - Library ) for govt. Sr. Sec. School,Bhongra","03-Jul-2023","500000","04-Feb-2024"
"100","Normal/Others","WS/MP076/2023-2024/2182-Providing garbage collection and disposal systems","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Providing of one tractor and hydraulic Trolly for gram  Panchayat Majara-B distt. Jhajjar for sanitation.","03-Jul-2023","600000","15-Feb-2024"
"101","Normal/Others","WS/MP076/2023-2024/2188-Purchase of hospital equipment","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Digital photo slit Lamp with applanation tonometer( TOPCON) for RIO,PGIMS (Rohtak)","04-Jul-2023","1000000","12-Dec-2023"
"102","Normal/Others","WS/MP076/2025-2026/2257-Purchase of mobile water tankers","Haryana","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Jhinjhar Distt Charkhi Dadri ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","157000","12-Jan-2026"
"103","Normal/Others","WS/MP076/2023-2024/2258-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Sukhpura Distt Bhiwani( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","157000","19-Oct-2023"
"104","Normal/Others","WS/MP076/2023-2024/2259-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Kharak Khurd  Distt Bhiwani ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","157000","19-Oct-2023"
"105","Normal/Others","WS/MP076/2023-2024/2260-Purchase of mobile water tankers","Haryana","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One Fogging Machine for gram Panchayat Kari Dharni Distt Charkhi Dadri","04-Jul-2023","80988","19-Jan-2024"
"106","Normal/Others","WS/MP076/2024-2025/2262-Purchase of furniture and fixtures for educational purposes","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water Cooler for Govt. College Dubaldhan Ghikan Distt JhAJJAR","04-Jul-2023","130759","16-Jul-2024"
"107","Normal/Others","WS/MP076/2023-2024/2263-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat  Dhubaldhan Bihan Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","154427","04-Dec-2023"
"108","Normal/Others","WS/MP076/2023-2024/2264-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Dubaldhan Ghikan Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","154427","04-Dec-2023"
"109","Normal/Others","WS/MP076/2023-2024/2265-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Dubaldhan Kirmian Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","154427","04-Dec-2023"
"110","Normal/Others","WS/MP076/2023-2024/2267-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Ward no 18 Distt Bhiwani ( Capacity 5000 Litrs with Motor fitted and new tyers.(Sc Component","04-Jul-2023","157000","19-Oct-2023"
"111","Normal/Others","WS/MP076/2023-2024/2268-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Ward no 20 Distt Bhiwani ( Capacity 5000 Litrs with Motor fitted and new tyers.(SC Component )","04-Jul-2023","157000","19-Oct-2023"
"112","Normal/Others","WS/MP076/2023-2024/2270-Construction of community centers and community halls","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Part Construction of Ambedkar Bhawan Community Center ward no 19 Bhiwani (SC Component)","04-Jul-2023","472700","19-Oct-2023"
"113","Normal/Others","WS/MP076/2023-2024/2274-Providing garbage collection and disposal systems","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Provision of One Tractor and Hydraulic Trolly for gram Panchayat Data Distt. Hisar","04-Jul-2023","627372","02-Jan-2024"
"114","Normal/Others","WS/MP076/2023-2024/2275-Purchase of mobile sanitation equipment","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Two Fogging Machine for ward no 9 and 7 in Gram Panchayat,Kuleri (SC Component)","04-Jul-2023","149800","03-Nov-2023"
"115","Normal/Others","WS/MP076/2023-2024/2276-Purchase of mobile sanitation equipment","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One Fogging Machine for Gram Panchayat Chikanwas Distt Hisar","04-Jul-2023","74900","03-Nov-2023"
"116","Normal/Others","WS/MP076/2023-2024/2277-Setting up of electric vehicle charging stations","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Providing one E-rikshaw (Loader) to CO,3 Haryana Girls Battalion NCC,Hisar","04-Jul-2023","145400","27-Dec-2023"
"117","Normal/Others","WS/MP076/2023-2024/2278-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water Tanker for Rishi Nagar Hisar ( Capacity 5000 Litrs with motor fitted and new tyers .","04-Jul-2023","153000","19-Jul-2023"
"118","Normal/Others","WS/MP012/2023-2024/2279-Construction of boundary walls of existing public and community buildings","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Prashanta Nanda (2018-24) (2018-2024)","Elected MP","Construction of Guard wall at Bhedabahal Mission to Tamibahal bandha Road","05-Jul-2023","500000","17-Aug-2023"
"119","Normal/Others","WS/MP012/2023-2024/2281-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Prashanta Nanda (2018-24) (2018-2024)","Elected MP","Completion of incomplete C.C. road at Bhogopur to Grameshwar Temple","05-Jul-2023","900000","01-Aug-2023"
"120","Normal/Others","WS/MP012/2023-2024/2282-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Prashanta Nanda (2018-24) (2018-2024)","Elected MP","completion of incomplete C.C. road at Bhogapur Bhikari Balabantaray House to Tala Sahi","05-Jul-2023","900000","01-Aug-2023"
