"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"13408","Normal/Others","WS/MP170/2024-2025/133021-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Construction of CC Roads from Papanaveni Lingavva House (2-17) to Javvaji Ravi House (3-6) in Ambaripet (V).","05-Jul-2024","22-Jul-2024","477675","Physical Inspection"
"13409","Normal/Others","WS/MP170/2024-2025/133022-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Construction of CC Road from Seru RajamHouse (1-35) to Karipe Murali House (2-38) in Ambaripet (V).","05-Jul-2024","22-Jul-2024","499390","Physical Inspection"
"13410","Normal/Others","WS/MP170/2024-2025/133023-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Construction of CC Road from Raja Reddy House (7-100) to K. Venkatesh House (7-124) in Ambaripet (V).","05-Jul-2024","22-Jul-2024","484582","Physical Inspection"
"13411","Normal/Others","WS/MP170/2024-2025/133024-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Construction of CC Road from S. Chinnaiah House (4-97) to Shenkar House (5-37) in Ambaripet (V).","05-Jul-2024","22-Jul-2024","498112","Physical Inspection"
"13412","Normal/Others","WS/MP093/2024-2025/133032-Setting up processing plants, cold storages,etc for fish and fisheries products for community use","Karnataka","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF Varamballi (Ct); Hamdadi,Chantaru FISH MARKET DEVELOPMENT WORK","05-Jul-2024","13-Nov-2024","999674","Physical Inspection"
"13413","Normal/Others","WS/MP093/2024-2025/133033-Construction of rooms and halls in school and colleges","Karnataka","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF KARJE GOVT SCHOOL BUILDING DEVELOPMENT WORK","05-Jul-2024","13-Nov-2024","500000","Work Completed"
"13414","Normal/Others","WS/MP093/2024-2025/133034-Construction of rooms and halls in school and colleges","Karnataka","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF KALTHUR SANTE KATTE SENIOR PRIMARY GOVT  SCHOOL BUILDING DEVELOPMENT WORK","05-Jul-2024","16-Nov-2024","500000","Physical Inspection"
"13415","Normal/Others","WS/MP157/2024-2025/133040-Providing drains and gutters for public drainage","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","Construction of Storm Water Drain and Culvert in Ward No.5 Bhagavathi Nagar Cross Street-2 to 9 in Modakkurichi Town Panchayat (2024-25)","05-Jul-2024","06-Dec-2024","1500000","Physical Inspection"
"13416","Normal/Others","WS/MP157/2024-2025/133041-Providing drains and gutters for public drainage","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","Construction of Storm Water Drain and Culvert  in Ward No.5 Bhagavathi Nagar Main Road and Cross Street-1 in Modakkurichi Town Panchayat.","05-Jul-2024","11-Dec-2024","1850000","Physical Inspection"
"13417","Normal/Others","WS/MP153/2024-2025/133043-Purchase of books for public libraries/ digitization of library books","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","Books of Nehru history distributes of 217 Books to schools","05-Jul-2024","30-Aug-2024","434000","Physical Inspection"
"13418","Normal/Others","WS/MP153/2025-2026/133044-Purchase of books for public libraries/ digitization of library books","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","Distrubutions of Nehru story and photos","05-Jul-2024","02-Apr-2025","566000","Physical Inspection"
"13419","Normal/Others","WS/MP153/2024-2025/133045-Construction of rooms and halls in school and colleges","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","Providing the school tables and chairs","05-Jul-2024","16-Jul-2024","1200000","Physical Inspection"
"13420","Normal/Others","WS/MP073/2024-2025/133046-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const,of road from Rampur namghar to hemen Nath House at Rampur,under Barnagar Revenue Circle","05-Jul-2024","19-Aug-2024","2500000","Vendor Identification"
"13421","Normal/Others","WS/MP073/2024-2025/133047-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of Road from Jagannath Mandir to Purnanda Pathak house at North Santaradaha, Under BaRNAGAR Rev. Circle","05-Jul-2024","19-Aug-2024","2500000","Vendor Identification"
"13422","Normal/Others","WS/MP073/2024-2025/133048-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of Road From Peragaon PWD Road to Nanda Mohan Pathak house at Peragaon, Under Barnagar Rev.Circle","05-Jul-2024","19-Aug-2024","2500000","Vendor Identification"
"13423","Normal/Others","WS/MP073/2024-2025/133049-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of road from Narasingha Namghar to Kundadhar Das house at Peragaon, Under Barnagar Revednue circle","05-Jul-2024","19-Aug-2024","2500000","Vendor Identification"
"13424","Normal/Others","WS/MP073/2024-2025/133050-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of Bhaktarjan APR Road at Ward No-18(Back Side of FAAMC and Hospital,Dimpal Nath house to Namghar tiniali Chowk)","05-Jul-2024","25-Oct-2024","1000000","Vendor Identification"
"13425","Normal/Others","WS/MP073/2024-2025/133054-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Construction of interlocking concrete block pavement(ICBP)Road at Gokul Kathar Path,(Jyotikuchi Dhopolia)Bye Laned No-8 West Guwahati","06-Jul-2024","04-Oct-2024","2500000","Vendor Identification"
"13426","Normal/Others","WS/MP073/2024-2025/133056-Construction of community centers and community halls","Assam","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Construction of Community Hall at Deshbhakta Maidan Mukalmua G.P.-59 Narayanpur,Village:Mukalmua","06-Jul-2024","12-Sep-2024","5000000","Vendor Identification"
"13427","Normal/Others","WS/MP073/2024-2025/133058-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of ICBP Road and drain at Milijuli path Near NEF Law College Kanaklata Path Guwahati","06-Jul-2024","04-Oct-2024","2500000","Vendor Identification"
"13428","Normal/Others","WS/MP073/2024-2025/133059-Construction of community centers and community halls","Assam","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of Community Hall near Paka Kirtan Ghar at Nakhara","06-Jul-2024","24-Feb-2025","500000","Vendor Identification"
"13429","Normal/Others","WS/MP135/2024-2025/133060-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","Construction of Guard Wall (Protection Wall) from Kadalijaba to teliguda, GP- Baghasiuni, Nabarangpur Block","06-Jul-2024","18-Sep-2024","1000000","Work Completed"
"13430","Normal/Others","WS/MP093/2024-2025/133061-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD MACHAGOWDANAHALLI LAXMANACHARI HOME TO BELIGOWDA RAMESH HOME","06-Jul-2024","26-Dec-2024","500000","Physical Inspection"
"13431","Normal/Others","WS/MP093/2024-2025/133062-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD MACHAGOWDANAHALLI MAIN ROAD TO KARIJOGI CHIKKONA HOME","06-Jul-2024","26-Dec-2024","497365","Physical Inspection"
"13432","Normal/Others","WS/MP093/2024-2025/133063-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD KODIKOPPALU MAYANNA HOME TO PUTTASWAMY HOME","06-Jul-2024","26-Dec-2024","500000","Physical Inspection"
"13433","Normal/Others","WS/MP093/2024-2025/133064-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD MANDYA-NAGAMANGALA ROAD TO KODAGAYYA HOME","06-Jul-2024","26-Dec-2024","500000","Physical Inspection"
"13434","Normal/Others","WS/MP135/2024-2025/133065-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","Construction of CC Road at UP School, Taragam, GP- Taragam, Block - Nabarangpur","06-Jul-2024","18-Sep-2024","700000","Physical Inspection"
"13435","Normal/Others","WS/MP135/2024-2025/133066-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","Construction of CC Road from Gumaguda village to Nadighat, GP- Taragam, Nabarangpur Block","06-Jul-2024","18-Sep-2024","1000000","Physical Inspection"
"13436","Normal/Others","WS/MP135/2024-2025/133067-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","Construction of guard wall (Protection Wall) from Gumaguda to Patramunda, GP- Taragam, Nabarangpur Block","06-Jul-2024","18-Sep-2024","500000","Physical Inspection"
"13437","Normal/Others","WS/MP135/2024-2025/133068-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","Construction of CC Road  from Maulibandha to Pujari Sahi, GP-Taragam, Nabarangpur Block","06-Jul-2024","18-Sep-2024","550000","Physical Inspection"
"13438","Normal/Others","WS/MP135/2024-2025/133069-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","Construction of CC Road at Phatakot Village, GP - Badakumuli, Nabarangpur Block","06-Jul-2024","17-Sep-2024","500000","Physical Inspection"
"13439","Normal/Others","WS/MP073/2024-2025/133075-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. Of Road From Natun Basti Road to Kamar Gaon Bazar,Under Barnagar Rev.Circle","06-Jul-2024","19-Aug-2024","2500000","Vendor Identification"
"13440","Normal/Others","WS/MP073/2024-2025/133076-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of road N edar subur Ali house to Gani Miya House atGamari Guri,Barpeta","06-Jul-2024","28-Oct-2024","2500000","Vendor Identification"
"13441","Normal/Others","WS/MP073/2024-2025/133077-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of Road From Shiv Mandir to Yasin Ali House at Gamari Guri , Barpeta","06-Jul-2024","28-Oct-2024","2500000","Vendor Identification"
"13442","Normal/Others","WS/MP073/2024-2025/133080-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of Road from B.J. Link Road to Dhanjit Das House,Joti Gaon,Barpeta Under Mandia Block","06-Jul-2024","26-Jul-2024","1000000","Vendor Identification"
"13443","Normal/Others","WS/MP073/2024-2025/133083-Construction of public libraries and reading rooms","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Construction Of Public Library at Pachim Uloni Dharbam Neheru Smriti Sangha& Puthibharal,Dhupguri","06-Jul-2024","25-Mar-2025","300000","Vendor Identification"
"13444","Normal/Others","WS/MP073/2024-2025/133084-Construction of community centers and community halls","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","Const. of Community Hall bat Bangalbori Nayanjyoti Sangha Bongalbori,Nibira","06-Jul-2024","25-Mar-2025","300000","Vendor Identification"
"13445","Normal/Others","WS/MP157/2024-2025/133085-Construction of road under bridge","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","Providing Bituminous Macadam road at North side in Utchaya Nagar, Thanakkankulam Village, Madurai District - 2024-25","06-Jul-2024","13-Sep-2024","996341","Physical Inspection"
"13446","Normal/Others","WS/MP157/2024-2025/133086-Construction of road under bridge","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","Providing Bituminous Macadam road at Main road South side in Utchaya Nagar, Thanakkankulam Village, Madurai District - 2024-25","06-Jul-2024","13-Sep-2024","995764","Physical Inspection"
"13447","Normal/Others","WS/MP157/2024-2025/133087-Construction of road under bridge","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","Providing Bituminous Macadam road at Main Road in Kuniji Nagar, Thanakkankulam Village, Madurai District - 2024-25","06-Jul-2024","13-Sep-2024","995324","Physical Inspection"
"13448","Normal/Others","WS/MP082/2024-2025/133091-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Deepak Prakash (2020-26) (2020-2026)","Elected MP","Construction of community hall in Ward No. 11, Kantatoli, Ravidas Muhalla.","07-Jul-2024","24-Sep-2024","1450000","Physical Inspection"
"13449","Normal/Others","WS/MP298/2024-2025/133093-Construction of additional rooms and halls in the existing public and community building","Haryana","PANIPAT(DC CUM NODAL OFFICER MPLADS)","Shri Krishan Lal Panwar (2022-24) (2022-2024)","Elected MP","Const. of Hall near Devi Mandir in village Balana","08-Jul-2024","21-Nov-2024","1100000","Physical Inspection"
"13450","Normal/Others","WS/MP298/2024-2025/133094-Construction of community centers and community halls","Haryana","PANIPAT(DC CUM NODAL OFFICER MPLADS)","Shri Krishan Lal Panwar (2022-24) (2022-2024)","Elected MP","Completion of Kashyap Choupal in Village Joshi","08-Jul-2024","16-Aug-2024","989180","Work partially Completed"
"13451","Normal/Others","WS/MP298/2024-2025/133095-Construction of rooms and halls in school and colleges","Haryana","PANIPAT(DC CUM NODAL OFFICER MPLADS)","Shri Krishan Lal Panwar (2022-24) (2022-2024)","Elected MP","Const. of Class Room in Geeta Education Society Village Shera","08-Jul-2024","21-Nov-2024","1100000","Work partially Completed"
